period,radius,stellar_teff,stellar_logg,stellar_rad,stellar_mag,disposition,insolation,equilibrium_temp,stellar_mass,distance
9.48803557,2.26,5455.0,4.467,0.927,15.347,CONFIRMED,93.59,793.0,0.9182955707249432,1050.5484422386064
54.4183827,2.83,5455.0,4.467,0.927,15.347,CONFIRMED,9.11,443.0,0.9182955707249432,1050.5484422386064
19.89913995,14.6,5853.0,4.544,0.868,15.436,CANDIDATE,39.3,638.0,0.9613078120780072,1179.8413491248002
1.736952453,33.46,5805.0,4.564,0.791,15.597,FALSE POSITIVE,891.96,1395.0,0.8359416965549908,1139.0106130946592
2.525591777,2.75,6031.0,4.438,1.046,15.509,CONFIRMED,926.16,1406.0,1.093670229175646,1561.1951038683744
11.09432054,3.9,6046.0,4.486,0.972,15.714,CONFIRMED,114.81,835.0,1.0547646134698268,1602.3205024879865
4.13443512,2.77,6046.0,4.486,0.972,15.714,CONFIRMED,427.65,1160.0,1.0547646134698268,1602.3205024879865
2.56658897,1.59,6046.0,4.486,0.972,15.714,CONFIRMED,807.74,1360.0,1.0547646134698268,1602.3205024879865
7.36178958,39.21,6227.0,3.986,1.958,12.66,FALSE POSITIVE,767.22,1342.0,1.3534692590215642,838.9136445143527
16.06864674,5.76,5031.0,4.485,0.848,15.841,CONFIRMED,30.75,600.0,0.8009671887670567,1026.2456423710316
2.470613377,13.04,5820.0,4.457,0.964,11.338,CONFIRMED,761.46,1339.0,0.970458769975356,196.27719476771287
2.204735417,16.1,6440.0,4.019,1.952,10.463,CONFIRMED,4148.92,2048.0,1.4513850587480754,325.2358322783391
3.522498429,14.59,6225.0,4.169,1.451,13.563,CONFIRMED,1264.67,1521.0,1.1328120136917212,941.6574855419248
3.709214104,1.16,5833.0,4.407,1.022,12.772,CONFIRMED,500.46,1206.0,0.972131045728896,404.5588329413383
11.52144606,150.51,5795.0,4.554,0.848,15.472,FALSE POSITIVE,75.88,753.0,0.9388900266288586,1148.8136099127105
19.40393776,7.18,5043.0,4.591,0.68,15.487,FALSE POSITIVE,17.69,523.0,0.6574168735547417,702.4795535768317
19.22138894,49.29,6117.0,4.496,0.947,15.341,FALSE POSITIVE,55.97,698.0,1.0245259883335132,1345.7790991260222
16.46983774,7.94,5152.0,4.517,0.786,15.788,FALSE POSITIVE,29.61,595.0,0.7407439504590614,973.4666864416968
9.27358173,2.47,4856.0,4.583,0.696,15.302,CONFIRMED,41.85,649.0,0.6761475838977836,612.2283480220561
6.02930329,2.85,4537.0,4.648,0.672,15.784,CONFIRMED,50.04,678.0,0.7320850992515434,644.2488777654564
2.696370652,1.58,4989.0,4.504,0.819,15.269,FALSE POSITIVE,305.34,1066.0,0.7805322012262679,748.9584909975613
5.349553819,2.55,5185.0,4.44,0.91,15.416,CONFIRMED,168.99,919.0,0.8315833895056821,961.8021706947331
3.94105221,1.7,5185.0,4.44,0.91,15.416,CONFIRMED,253.15,1018.0,0.8315833895056821,961.8021706947331
8.10904807,1.3,5185.0,4.44,0.91,15.416,CONFIRMED,97.03,800.0,0.8315833895056821,961.8021706947331
386.6030528,41.5,5543.0,4.081,1.58,12.394,FALSE POSITIVE,1.84,297.0,1.0968246322463635,474.5627907137906
21.67699193,2.95,4954.0,4.5,0.828,15.377,CONFIRMED,18.64,530.0,0.7904669106185429,784.6738515139484
4.99677968,2.78,5339.0,4.552,0.847,15.861,CONFIRMED,166.95,917.0,0.9323733292482478,1165.064826877894
4.280963604,2.3,5644.0,4.564,0.831,15.356,CONFIRMED,247.87,1012.0,0.9226246824095844,1012.3294543009272
1.50635409,4.53,5714.0,4.563,0.831,15.525,FALSE POSITIVE,1054.12,1452.0,0.9205027045243046,1121.5750380551067
670.645531,14.14,5520.0,4.466,0.983,15.207,FALSE POSITIVE,0.35,196.0,1.0302201902674857,1069.494393900336
61.2563628,39.87,6144.0,4.402,1.091,15.25,FALSE POSITIVE,15.43,505.0,1.0951472638646167,1499.9404035167815
38.3775486,2.82,5481.0,4.369,1.036,15.172,CONFIRMED,18.53,529.0,0.9152558893407092,1093.518660920692
