pl_name,hostname,default_flag,disposition,disp_refname,pl_orbper,pl_rade,pl_radj,ttv_flag,st_teff,st_rad,st_mass,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
BD+20 594 b,BD+20 594,0,CONFIRMED,Espinoza et al. 2016,41.688644,2.35545351,0.21013949,0.0,5703.0,0.956122,0.963861,4.38,179.461,10.849,9.368,10.8644
BD+20 594 b,BD+20 594,0,CONFIRMED,Espinoza et al. 2016,41.6855,2.23,0.19894727,0.0,5766.0,0.928,0.961,4.5,179.461,10.849,9.368,10.8644
BD+20 594 b,BD+20 594,1,CONFIRMED,Espinoza et al. 2016,41.6855,2.57807,0.23,0.0,5766.0,1.08,1.67,4.5,179.461,10.849,9.368,10.8644
EPIC 201111557.01,EPIC 201111557,0,CANDIDATE,Livingston et al. 2018,2.302368,1.31258765,0.12,0.0,4720.0,0.710995,0.88,4.5,97.1795,11.727,9.22,11.3995
EPIC 201111557.01,EPIC 201111557,1,CANDIDATE,Livingston et al. 2018,2.30183,1.12,0.0999,0.0,4616.52,0.762602,0.73,4.53679,97.1795,11.727,9.22,11.3995
EPIC 201126503.01,EPIC 201126503,1,CANDIDATE,Vanderburg et al. 2016,1.1947488,4.19,0.37380676,0.0,3919.0,0.57,0.88,4.49249,290.062,19.21,14.23,17.8892
EPIC 201127519.01,EPIC 201127519,0,CANDIDATE,Livingston et al. 2018,6.178369,9.91257877,0.88,0.0,5015.0,0.789478,0.88,4.67,117.704,11.733,9.43,11.4806
EPIC 201127519.01,EPIC 201127519,1,CANDIDATE,Livingston et al. 2018,6.17887,8.84,0.789,0.0,4719.28,0.849432,0.756,4.45833,117.704,11.733,9.43,11.4806
EPIC 201147085.01,EPIC 201147085,1,CANDIDATE,Kruse et al. 2019,1.17589,0.86,0.077,0.0,5284.0,0.309,0.88,4.49249,166.5844,16.64,11.397,12.6702
EPIC 201152065.01,EPIC 201152065,1,CANDIDATE,Kruse et al. 2019,10.6966,1.45,0.129,0.0,5284.0,0.588,0.88,4.49249,212.291,14.346,11.43,13.9562
EPIC 201160662.01,EPIC 201160662,1,CANDIDATE,Kruse et al. 2019,1.5374115,45.0,4.0,0.0,5284.0,1.599,0.88,4.49249,666.23,12.382,10.797,12.0464
EPIC 201164625.01,EPIC 201164625,1,CANDIDATE,Livingston et al. 2018,2.71189,4.34,0.387,0.0,6402.0,3.16745,1.28,3.54386,1032.42,11.461,10.777,11.8357
EPIC 201166680.01,K2-243,1,CANDIDATE,Mayo et al. 2018,18.10549,2.09985108,0.19,0.0,6213.0,1.224685,0.88,4.32,266.864,10.971,9.591,10.7424
EPIC 201170410.02,EPIC 201170410,1,CONFIRMED,del Ser &amp; Fors 2020,6.7987,1.047,0.09340708,0.0,3648.0,0.282,0.287,4.999,264.78,17.6984,12.619,16.4386
EPIC 201176672.01,EPIC 201176672,1,CANDIDATE,Crossfield et al. 2016,79.9999,10.2,0.91,0.0,4542.0,0.508,0.88,4.747,333.46,14.258,11.604,13.9651
EPIC 201176672.02,EPIC 201176672,1,CANDIDATE,Kruse et al. 2019,6.788,30.0,3.0,0.0,5284.0,0.707,0.88,4.49249,333.46,14.258,11.604,13.9651
EPIC 201180665.01,EPIC 201180665,1,CANDIDATE,Livingston et al. 2018,17.77297,26.44,2.359,0.0,5847.0,1.25428,1.06,4.26659,601.265,13.327,11.65,13.0873
EPIC 201182911.01,EPIC 201182911,1,CANDIDATE,Vanderburg et al. 2016,0.99656225,32.8,2.92622,0.0,3727.0,0.5,0.88,4.49249,335.632,16.226,12.335,15.4518
EPIC 201197348.01,EPIC 201197348,0,CANDIDATE,Kruse et al. 2019,14.912381,3.55,0.31670979,0.0,4224.0,0.65,0.88,4.49249,360.103,15.537,12.424,15.0437
EPIC 201197348.01,EPIC 201197348,1,CANDIDATE,Kruse et al. 2019,14.9139,3.24,0.289,0.0,5284.0,0.647,0.88,4.49249,360.103,15.537,12.424,15.0437
EPIC 201231940.01,EPIC 201231940,1,CANDIDATE,Vanderburg et al. 2016,0.57303573,3.35,0.29886698,0.0,3570.0,0.43,0.88,4.49249,1138.64,18.78,15.155,18.0887
EPIC 201238110 b,EPIC 201238110,0,CONFIRMED,Heller et al. 2019,28.1696,2.2,0.2,0.0,5284.0,0.374,0.88,4.49249,159.259,16.014,11.933,15.2612
EPIC 201238110 b,EPIC 201238110,1,CONFIRMED,Heller et al. 2019,28.1656,1.87,0.16683023,0.0,5284.0,0.863,0.41,4.49249,159.259,16.014,11.933,15.2612
