toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,stellar_mass
1000.01,50365310,FALSE POSITIVE,07h29m25.85s,112.357708,-12d41m45.46s,-12.69596,-5.964,-0.076,2459229.630046,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.604,485.735,10249.0,4.19,2.16986,2019-07-24 15:58:33,2024-09-09 10:08:01,2.658804769507779
1001.01,88863718,CANDIDATE,08h10m19.31s,122.580465,-05d30m49.87s,-5.513852,-4.956,-15.555,2459987.948873,1.9316462,3.166,1286.0,11.2154,44464.5,4045.0,9.42344,295.862,7070.0,4.03,2.01,2019-07-24 15:58:33,2023-04-03 14:31:04,1.5783929633403346
1002.01,124709665,FALSE POSITIVE,06h58m54.47s,104.726966,-10d34m49.64s,-10.580455,-1.462,-2.249,2459224.687802,1.8675574,1.408,1500.0,23.7529,2860.61,2037.0,9.299501,943.109,8924.0,4.33,5.73,2019-07-24 15:58:33,2022-07-11 16:02:02,25.593652277514373
1003.01,106997505,FALSE POSITIVE,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.939,1.64,2458493.3957,2.74323,3.167,383.41,10.541599999999999,1177.36,1631.0,9.3003,7728.17,5388.5,4.15,1.23975,2019-07-24 15:58:33,2022-02-23 10:10:02,0.7915735156166585
1004.01,238597883,FALSE POSITIVE,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,9.347,2459987.047262,3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9.1355,356.437,9219.0,4.14,2.15,2019-07-24 15:58:33,2024-09-09 10:08:01,2.3264833090129726
1005.01,169904935,FALSE POSITIVE,08h02m49.15s,120.704811,-11d06m05.48s,-11.101521,-26.932,-2.901,2459985.156855,4.5505945,2.654,3731.0,7.10841,414.775,1257.0,9.1309,100.711,5613.0,4.33,1.09,2019-07-24 15:58:33,2025-07-08 10:08:01,0.9261386679493687
1006.01,156115721,FALSE POSITIVE,08h17m26.22s,124.359239,-27d16m24.68s,-27.273521,-29.1,-6.8,2459229.984579,2.5047918,4.3797563,2270.5402194,8.6950898,1750.932635,1649.8220699,9.2386,364.963,6616.0,4.33,1.53429,2019-07-24 15:58:33,2021-10-29 12:59:15,1.8350078657528615
1007.01,65212867,CANDIDATE,07h31m00.57s,112.752393,-04d27m48.09s,-4.463359,0.357,3.399,2459247.930695,6.9989206,3.953,2840.0,14.7752,448.744,1282.0,8.87759,283.291,6596.0,3.71,2.7,2019-07-24 15:58:33,2021-10-29 12:59:15,1.3631716629753599
1008.01,440801822,FALSE POSITIVE,07h17m31.88s,109.382839,+13d23m42.79s,13.395219,-17.9,1.3,2460258.236122,2.0483755,2.767,483.0,3.19621,5644.4,1183.0274647,8.9362,144.297,6858.5,4.2,1.57,2019-07-24 15:58:33,2023-12-08 16:02:02,1.4243683866270966
1009.01,107782586,CANDIDATE,07h26m40.28s,111.667845,-24d27m43.6s,-24.462111,-3.297,4.849,2459229.230924,1.9600277,2.0065257,1707.6272693,10.541599999999999,1063.3422958,1456.4246534,8.4331,866.147,8868.7,4.33,1.23975,2019-07-24 15:58:33,2024-01-17 10:08:02,1.198094998525787
101.01,231663901,CONFIRMED,21h14m56.88s,318.737012,-55d52m18.71s,-55.871863,12.641,-16.011,2458326.009117,1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,12.4069,375.31,5600.0,4.48851,0.890774,2018-09-05 18:49:20,2024-09-06 10:08:02,0.8909802676274814
1010.01,139853601,FALSE POSITIVE,07h29m10.56s,112.293981,-21d49m58.48s,-21.832912,-5.746,4.502,2459228.878101,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,8.45086,485.122,9438.0,4.33,1.0,2019-07-24 15:58:33,2021-10-29 12:59:15,0.7795123878035256
1011.01,114018671,CANDIDATE,07h35m56.34s,113.984761,-32d50m31.2s,-32.841999,145.102,-134.901,2459984.627768,2.4704981,2.191,250.0,1.44656,575.597,1364.0,8.2388,52.62,5413.7,4.46,0.94,2019-07-24 15:58:33,2023-03-22 16:02:02,0.9291348041468677
1012.01,427508467,ACTIVE PLANET CANDIDATE,07h48m22.87s,117.095285,+06d47m06.23s,6.785064,-2.99,-0.029,2459252.509595,0.884182,1.621,1890.0,24.8132,112144.0,5098.0,8.12718,295.959,8928.0,3.92,2.72,2019-07-24 15:58:33,2023-03-10 12:02:48,2.2436795487242667
1013.01,97700520,FALSE POSITIVE,07h09m08.66s,107.286063,-31d56m00.68s,-31.933523,-3.973,7.061,2459232.248322,5.4255548,3.9637474,14939.6342222,10.541599999999999,273.5880696,1037.2753045,7.6095,510.295,8868.7,4.33,1.23975,2019-07-24 15:58:33,2021-10-29 12:59:15,1.198094998525787
1014.01,96246348,FALSE POSITIVE,06h54m14.78s,103.561602,-34d13m22.15s,-34.22282,-13.063,9.737,2459985.657041,1.4095184,0.9484999,2841.5103258,10.541599999999999,1650.422071,1625.6180218,7.678,224.672,9307.0,4.33,1.23975,2019-07-24 15:58:33,2023-11-20 10:08:02,1.198094998525787
1015.01,155044736,FALSE POSITIVE,08h11m35.03s,122.895964,-27d58m18.83s,-27.971896,1.566,-17.974,2459963.610065,1.3730466,2.5708515,1301.5065338,42.1479417,3160.6328329,1912.3318636,10.7069,906.496,4897.0,4.33,6.7996101,2019-04-01 16:51:56,2023-12-20 16:02:19,36.04051945697
1016.01,175310067,FALSE POSITIVE,07h44m26.59s,116.110771,-36d05m53.83s,-36.098285,-9.231,11.614,2459238.831138,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,10.6257,368.646,7601.0,4.31,1.53641,2019-04-01 16:52:03,2024-09-09 10:08:01,1.7572650505987155
1017.01,182943944,FALSE POSITIVE,08h18m54.34s,124.726411,-37d46m59.7s,-37.78325,-11.278,9.593,2458518.96536,1.10422,2.37,14177.7,21.0448,39459.3,3926.0,10.6019,406.997,6995.2,4.07,1.61,2019-07-24 17:08:12,2021-10-29 12:59:15,1.1103880348602888
1018.01,291555748,FALSE POSITIVE,07h26m51.84s,111.716019,-50d15m59.64s,-50.266567,-8.018,11.56,2458492.78078,4.95912,2.509,7440.0,22.9123,673.55,1419.0,10.6254,360.541,5889.0,3.86,2.0,2019-04-01 16:52:01,2021-10-29 12:59:15,1.0565328689813613
1019.01,341420329,CANDIDATE,08h00m35.52s,120.147994,-54d52m42.79s,-54.878552,-11.732,2.586,2459232.446864,5.2341008,3.7078139,20796.9416293,24.2931408,1453.6663847,1574.8381848,10.6348,399.544,7645.0,4.3,1.56203,2019-07-24 17:08:12,2024-02-16 10:08:02,1.77501391679443
